	AS1	AS2	AS3	SD1	SD2	SD3	SD4	SD5	SD6	SD8	SD9
107258	0	0.75	1.25	0	0	0	0	0	3.75	1.25	2.75
1074210	0	0.5	0	0	0	0	0	0	1	0.75	1.5
1076969	0	0	0	0.6	0.4	0	1	1	0	0	0
1078207	0	0.5	1	0	0	0	0	0	2.25	1.75	0
1079708	0	0.4	0.4	0	0	0	0	0	2.8	0.8	0
1081134	0	3.25	0	0	0	0	0	0	1	1.5	0
1081222	0.2	0	0	0.2	0.8	0.6	1.1	0.9	0	0	0
1082059	0	2	1	0	0	0	1.5	0	4.5	0	0
1084045	0.6	0	0	1.1	1	0.6	1	0.6	0	0	0
1085410	0	1.2	1.2	0	0	0	0	0	4.6	0.4	0
1086805	0	0.6	0	0	0.4	0.6	0	0	0.6	2.6	0.6
109413	0.333333333333333	6.16666666666667	11.8333333333333	0	0	0	0	0	0.5	4.83333333333333	0
1096842	0	2.8	0	0	0	0	0	0	0.6	0.6	0
1098655	0	0	0	0	0	0.25	1.5	1.375	0	0	0
1100972	1	0	0	2.2	1.2	0.8	2.8	2.4	0	0	0
110450	0.4	0	0	1.2	0	0	0.6	1.8	0	0	0
1106113	0	0	0	0.8	0	1	1.2	0.8	0	0	0
1107999	0.5	0	0	1.25	0.5	0.75	0.75	0.5	0	0	0
1108244	1.33333333333333	0	0	0.75	1.75	1	1.5	0.5	0	0	0
1108706	0	0.285714285714286	1	0	0	0.714285714285714	1	0.428571428571429	1	0	1.14285714285714
1109251	1.66666666666667	0	0	3.33333333333333	2	1.83333333333333	1.5	2	0	0	0
111121	1.8	0	0	1.7	1.3	2.6	1.8	1.2	0	0	0
1111582	0.333333333333333	0	0	0.333333333333333	0.5	0.333333333333333	0.333333333333333	0.333333333333333	0	0	0
1112200	3.3	0	0	5.5	2.7	5.8	3.6	5.6	0	0	0
1112485	0	0	0	1.75	0	0.5	0.75	0.75	0	0	0
1113589	1	0	0	2.25	0.75	1.25	2.25	2.5	0	0	0
1115572	0	0	0	0.333333333333333	0	0	0.333333333333333	0.5	0	0	0
1121955	8.6	0	0	13.2	8.8	10.4	9	11.4	0	0	0
1123021	0.6	0	0	0.4	0.2	1.2	0.5	2.1	0	0	0
1125320	5.4	0	0	7.2	5.2	7.4	5.3	3.5	0	0	0
1126217	0	0	0	0	0.222222222222222	0.333333333333333	0.222222222222222	0.222222222222222	0	0	0
1126851	2.6	0	0	5	1.8	4.6	2	1.4	0	0	0
1127227	0.444444444444444	0	0	0.222222222222222	0.333333333333333	0.333333333333333	0.333333333333333	1	0	0	0
1129461	0.333333333333333	0.333333333333333	0	0.5	0	0.666666666666667	0.333333333333333	0	0	0	0
1129680	0.75	0	0	0	0.75	2	1	0.5	0	0	0
1130824	474.4	0	0	654	468.4	526.6	460.8	394.4	0	0	0
1132675	0.8	0	0	2.5	1.3	1.4	1.9	1.7	0	0	0
1135616	0.833333333333333	0	0	0.666666666666667	0.5	1.16666666666667	1.33333333333333	1.33333333333333	0	0	0
1136950	0.7	0	0	0.6	1	1.6	1.3	0.4	0	0	0
113773	0.5	0	0	0.5	0.333333333333333	0	0.833333333333333	0.333333333333333	0	0	0
1147446	0.2	0	0	0	0	0	1.1	1.1	0	0	0
12408	2	0	0	3	1	1.75	0.75	3.25	0	0	0
12434	1.75	0	0	4.75	2	2.25	4.25	3.5	0	0	0
12574	1.66666666666667	11	18	0	0	0	0	0	0	1.33333333333333	2
129642	0.333333333333333	0	0	0	0	0.333333333333333	0.333333333333333	0	0	0	0
130710	1.5	0	0	1.25	0.5	0.5	1.75	0	0	0	0
132333	0.4	0	0	0.4	0	0	0.4	1	0	0	0
132526	2	0	0	4.4	2	3.4	4.4	5.8	0	0	0
132609	428.75	0	0	650	347.25	471.75	456.25	381	0	0	0
132653	0	0	0	1.75	0.75	1	0.5	0.75	0	0	0
132985	0.75	0	0	1.25	0	1.25	2	2.5	0	0	0
133328	3	0	0	4	2.75	2.25	0.5	1.25	0	0	0
134649	0	0	0	1.4	0.4	0.4	0	0	0	0	0
136025	3.5	0	0.75	5.75	7.25	5	0.5	1.25	0	0	0
136560	0.8	0	0	0.4	0	0.8	0.6	1.2	0	0	0
137961	8.5	0	0	10.4	8.1	7.8	11	7.2	0	0	0
138130	0.8	0	0	2.1	1.8	1.6	1.2	1.1	0	0	0
138175	0	0	0	0.375	0	0.375	0.625	0	0	0	0
138493	0	0	0	0	0	0.3	0.2	0.2	0	0	0
